SampleID,SubRegion,Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,Remove
Waik-8494,Rottnest Island,,-32.01,115.52,1.7863,0.162244083,0.161006654,0,0,0,4932,340,107,0,0,1,10,0,0
Beta-132362,Rottnest Island,,-32.01,115.52,0.6863,0.162244083,0.161006654,0,0,0,1062,197,129,0,0,1,10,0,0
Waik-8372,Rottnest Island,,-32.01,115.52,2.0863,0.162244083,0.161006654,0,0,0,6142,147,147,0,0,1,10,0,0
Wk 8372,Rottnest Island,,-32.01,115.52,2.0863,0.162244083,0.161006654,0,0,0,5839,156,177,0,0,1,10,0,0
Beta-132357,Rottnest Island,,-32.01,115.52,0.3863,0.162244083,0.161006654,0,0,0,1547,177,182,0,0,1,10,0,0
Beta-132359,Rottnest Island,,-32.01,115.52,1.7863,0.162244083,0.161006654,0,0,0,3339,347,370,0,0,1,10,0,0
Beta-132360,Rottnest Island,,-32.01,115.52,0.4863,0.162244083,0.161006654,0,0,0,1418,191,233,0,0,1,10,0,0
Beta-132361,Rottnest Island,,-32.01,115.52,0.5863,0.162244083,0.161006654,0,0,0,1781,144,169,0,0,1,10,0,0
SUA-1903,Rottnest Island,,-31.997,115.543,0.7785,0.124942197,0.124942197,0,0,0,5685,582,614,-1,0,1,10,0,0
WAIT-83,Rottnest Island,,-31.997,115.543,0.7535,0.124942197,0.124942197,0,0,0,5758,1485,1542,-1,0,1,10,0,0
WAIT-113,Rottnest Island,,-31.997,115.543,1.3863,0.161006654,0.161006654,0,0,0,5900,1506,1567,0,0,1,10,0,0
WAIT-81,Rottnest Island,,-31.997,115.543,1.0535,0.124942197,0.124942197,0,0,0,5876,2310,2536,-1,0,1,10,0,0
WAIT-115,Rottnest Island,,-31.997,115.543,0.8285,0.124942197,0.124942197,0,0,0,6112,1379,1462,-1,0,1,10,0,0
WAIT-123,Rottnest Island,,-31.997,115.543,0.0885,0.124942197,0.124942197,0,0,0,6820,1599,1676,-1,0,1,10,0,0
WAIT-82,Rottnest Island,,-31.997,115.543,0.3035,0.124942197,0.124942197,0,0,0,6913,1051,1090,-1,0,1,10,0,0
SUA-1902,Rottnest Island,,-31.997,115.543,-0.2215,0.124942197,0.124942197,0,0,0,7032,601,650,-1,0,1,10,0,0
Tx-34,Rottnest Island,,-31.997,115.543,0.7535,0.124942197,0.124942197,0,0,0,5212,908,957,-1,0,1,10,0,0
Tx-35,Rottnest Island,,-31.997,115.543,0.8285,0.124942197,0.124942197,0,0,0,6119,1073,1086,-1,0,1,10,0,0
