SampleID,SubRegion,Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,Remove
FSB2s-CD1,Shark Bay,Australia,-25.9,114,-2.05,0.740212849,0.740212849,0,0,0,489,130,137,-1,0,1,7,0,0
FSB2s-CD2,Shark Bay,Australia,-25.9,114,-2.63,0.740212849,0.740212849,0,0,0,1420,146,138,-1,0,1,7,0,0
FSB2s-CD3,Shark Bay,Australia,-25.9,114,-3.05,0.740212849,0.740212849,0,0,0,3854,200,178,-1,0,1,7,0,0
FSB2s-CD5,Shark Bay,Australia,-25.9,114,-4.63,0.740212849,0.740212849,0,0,0,5376,181,158,-1,0,1,7,0,0
FPC1-CD2,Shark Bay,Australia,-25.28,113.97,-1,0.74005173,0.74005173,0,0,0,18,15,15,-1,0,1,7,0,0
FPC1-CD3,Shark Bay,Australia,-25.28,113.97,-1.28,0.74005173,0.74005173,0,0,0,36,47,35,-1,0,1,7,0,0
FPC1-CD4,Shark Bay,Australia,-25.28,113.97,-1.95,0.74005173,0.74005173,0,0,0,75,146,74,-1,0,1,7,0,0
FPC1-CD5,Shark Bay,Australia,-25.28,113.97,-2.1,0.74005173,0.74005173,0,0,0,65,139,64,-1,0,1,7,0,0
FPC1-CD6,Shark Bay,Australia,-25.28,113.97,-2.35,0.74005173,0.74005173,0,0,0,179,127,178,-1,0,1,7,0,0
FPC1-CD7,Shark Bay,Australia,-25.28,113.97,-2.8,0.74005173,0.74005173,0,0,0,131,138,130,-1,0,1,7,0,0
FPC1-CD8,Shark Bay,Australia,-25.28,113.97,-3.25,0.74005173,0.74005173,0,0,0,94,143,93,-1,0,1,7,0,0
FPC1-CD9,Shark Bay,Australia,-25.28,113.97,-4.25,0.74005173,0.74005173,0,0,0,779,141,131,-1,0,1,7,0,0
FPC1-CD10,Shark Bay,Australia,-25.28,113.97,-4.4,0.74005173,0.74005173,0,0,0,4032,203,198,-1,0,1,7,0,0
FPC1-CD11,Shark Bay,Australia,-25.28,113.97,-4.65,0.74005173,0.74005173,0,0,0,6355,175,163,-1,0,1,7,0,0
FPC1-CD12,Shark Bay,Australia,-25.28,113.97,-4.9,0.74005173,0.74005173,0,0,0,6465,175,172,-1,0,1,7,0,0
FSB1-CD1,Shark Bay,Australia,-25.28,114,-2.2,0.740050554,0.740050554,0,0,0,62,132,61,-1,0,1,7,0,0
FSB1-CD2,Shark Bay,Australia,-25.28,114,-5.02,0.740050554,0.740050554,0,0,0,709,151,141,-1,0,1,7,0,0
FSB1-CD3,Shark Bay,Australia,-25.28,114,-6,0.740050554,0.740050554,0,0,0,1686,175,164,-1,0,1,7,0,0
FWD2s-CD1,Shark Bay,Australia,-25.77,114.09,-3.55,0.740164414,0.740164414,0,0,0,1100,150,150,-1,0,1,7,0,0
FWD2s-CD2,Shark Bay,Australia,-25.77,114.09,-4.1,0.740164414,0.740164414,0,0,0,1784,167,173,-1,0,1,7,0,0
FWD2s-CD3,Shark Bay,Australia,-25.77,114.09,-4.4,0.740164414,0.740164414,0,0,0,3508,174,154,-1,0,1,7,0,0
FWD2s-CD4,Shark Bay,Australia,-25.77,114.09,-4.65,0.740164414,0.740164414,0,0,0,3820,192,197,-1,0,1,7,0,0
FWD2s-CD5,Shark Bay,Australia,-25.77,114.09,-4.8,0.740164414,0.740164414,0,0,0,5704,180,147,-1,0,1,7,0,0
FWD2s-CD6,Shark Bay,Australia,-25.77,114.09,-5.15,0.740164414,0.740164414,0,0,0,6022,170,156,-1,0,1,7,0,0
