SampleID,SubRegion,Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,Remove
Castle Rocks Cape Naturaliste CASTLRW,Cape Naturaliste,,-33.53,115.02,1.2753,0.606344366,0.606014431,0,0,0,5327,145,275,0,0,1,13,0,0
Castle Rocks Cape Naturaliste CASTBN4,Cape Naturaliste,,-33.53,115.02,1.2753,0.530365959,0.529988726,0,0,0,4681,148,154,0,0,1,13,0,0
Shelley Beach Cape Naturalist SB1,Cape Naturaliste,,-33.53,115.02,1.2753,0.530365959,0.529988726,0,0,0,1338,69,50,0,0,1,13,0,0
Cape Leeuwin LEEW1-1,Cape Leeuwin,,-33.371,115.135,1.07955,0.530267442,0.52989014,0,0,0,4308,113,204,0,0,1,13,0,0
Cape Leeuwin LEEW2,Cape Leeuwin,,-33.371,115.135,0.77955,0.530267442,0.52989014,0,0,0,3075,142,186,0,0,1,13,0,0
SUA-343,Northcliffe,,-34.38,115.52,0,0.195342904,0.195342904,0,0,0,9272,261,273,1,0,1,13,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
