SampleID,Region,Subregion,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,Remove
x16s,Florida,Florida,25.35,-80.28,-1.6514625,0.423948144,0.423948144,0,0,0,2453,300,300,0,0,1,1,0,0
x17s,Florida,Florida,25.35,-80.28,-0.7567515,0.399572432,0.399572432,0,0,0,2497,344,344,1,0,1,1,0,0
x18s,Florida,Florida,25.35,-80.28,-1.30902,0.478055001,0.478055001,0,0,0,2513.5,158.5,158.5,-1,0,1,1,0,0
x19s,Florida,Florida,25.49,-80.18,-1.317,0.345191754,0.34428527,0,0,0,2560.5,181.5,181.5,0,0,1,1,0,0
x20s,Florida,Florida,25.35,-80.28,-1.817,0.345372765,0.344466757,0,0,0,2573,193,193,0,0,1,1,0,0
x21s,Florida,Florida,25.49,-80.18,-1.295931371,0.387306765,0.387306765,0,0,0,2624.5,675.5,675.5,-1,0,1,1,0,0
x22s,Florida,Florida,25.35,-80.28,-1.8145,0.338625209,0.337701099,0,0,0,2679,188,188,0,0,1,1,0,0
x23s,Florida,Florida,25.42,-80.21,-2.1326,0.335850674,0.334918908,0,0,0,2683,703,703,1,0,1,1,0,0
x24s,Florida,Florida,25.35,-80.28,-0.792095,0.411922948,0.411922948,0,0,0,2953,338,338,1,0,1,1,0,0
x25s,Florida,Florida,25.35,-80.28,-2.3145,0.338406204,0.337481494,0,0,0,2956.5,181.5,181.5,0,0,1,1,0,0
x26s,Florida,Florida,24.5,-82.39,-1.629823463,0.452953519,0.452953519,0,0,0,3020.5,667.5,667.5,0,0,1,1,0,0
x27s,Florida,Florida,25.29,-81,-1.557292,0.514046581,0.514046581,0,0,0,3054.5,144.5,144.5,-1,0,1,1,0,0
x28s,Florida,Florida,25.29,-81,-1.621933715,0.517965479,0.517965479,0,0,0,3161,394,394,0,0,1,1,0,0
x29s,Florida,Florida,25.29,-81,-1.9559245,0.617988774,0.617988774,0,0,0,3318.5,367.5,367.5,0,0,1,1,0,0
x2s,Florida,Florida,25.21,-80.53,-0.342,0.346143373,0.345239388,0,0,0,330.5,175.5,175.5,0,0,1,1,0,0
x30s,Florida,Florida,25.29,-81,-1.759013,0.543311635,0.543311635,0,0,0,3334,124,124,-1,0,1,1,0,0
x31s,Florida,Florida,25.29,-81,-2.8145,0.337775955,0.336849515,0,0,0,3358,184,184,0,0,1,1,0,0
x32s,Florida,Florida,25.29,-81,-2.49014,0.404565088,0.403791915,0,0,0,3522,630,630,0,0,1,1,0,0
x33s,Florida,Florida,25.29,-81,-2.874,0.411302034,0.410541549,0,0,0,3554.5,128.5,128.5,0,0,1,1,0,0
x34s,Florida,Florida,25.29,-81,-2.33774,0.404652914,0.403879909,0,0,0,3598.5,641.5,641.5,0,0,1,1,0,0
x35s,Florida,Florida,25.29,-81,-0.682789,0.372790665,0.372790665,0,0,0,3651.5,765.5,765.5,1,0,1,1,0,0
x36s,Florida,Florida,25.29,-81,-3.074,0.411408511,0.410648223,0,0,0,3694,131,131,0,0,1,1,0,0
x37s,Florida,Florida,25.29,-81,-1.5122685,0.401817711,0.401817711,0,0,0,3713.5,349.5,349.5,1,0,1,1,0,0
x38s,Florida,Florida,25.29,-81,-1.2884725,0.428770407,0.428770407,0,0,0,3735.5,342.5,342.5,1,0,1,1,0,0
x39s,Florida,Florida,25.29,-81,-1.2884725,0.428770407,0.428770407,0,0,0,3859.5,375.5,375.5,1,0,1,1,0,0
x3s,Florida,Florida,25.21,-80.53,-1.035,0.275758255,0.274622678,0,0,0,349.5,94.5,94.5,-1,0,1,1,0,0
x40s,Florida,Florida,25.29,-81,-1.5122685,0.401817711,0.401817711,0,0,0,3992.5,364.5,364.5,1,0,1,1,0,0
x41s,Florida,Florida,25.29,-81,-2.10212,0.336386337,0.335456059,0,0,0,4021.5,379.5,379.5,1,0,1,1,0,0
x42s,Florida,Florida,25.29,-81,-3.3145,0.337287792,0.336360007,0,0,0,4032,193,193,0,0,1,1,0,0
x43s,Florida,Florida,25.29,-81,-3.8145,0.337357043,0.336429449,0,0,0,4360.5,204.5,204.5,0,0,1,1,0,0
x44s,Florida,Florida,25.29,-81,-2.317,0.344524925,0.343616682,0,0,0,4363.5,204.5,204.5,0,0,1,1,0,0
x45s,Florida,Florida,25.29,-81,-1.666231,0.431181513,0.431181513,0,0,0,4413,852,852,1,0,1,1,0,0
x46s,Florida,Florida,25.29,-81,-1.58396,0.335656431,0.334724124,0,0,0,4468,364,364,1,0,1,1,0,0
x47s,Florida,Florida,25.29,-81,-4.3145,0.337456626,0.336529307,0,0,0,4551,257,257,0,0,1,1,0,0
x48s,Florida,Florida,25.29,-81,-3.293315,0.837166907,0.837166907,0,0,0,4583.5,682.5,682.5,0,0,1,1,0,0
x49s,Florida,Florida,25.29,-81,-2.817,0.344851307,0.343943926,0,0,0,4615,205,205,0,0,1,1,0,0
x4s,Florida,Florida,25.89,-80.95,-0.1239965,0.365907644,0.365907644,0,0,0,950.5,267.5,267.5,-1,0,1,1,0,0
x50s,Florida,Florida,25.29,-81,-4.8145,0.337714338,0.336787729,0,0,0,4636.5,192.5,192.5,0,0,1,1,0,0
x51s,Florida,Florida,25.29,-81,-3.214,0.340467007,0.339547909,0,0,0,4640,194,194,0,0,1,1,0,0
x52s,Florida,Florida,25.29,-81,-1.5374245,0.555487033,0.555487033,0,0,0,4640,390,390,1,0,1,1,0,0
x53s,Florida,Florida,25.29,-81,-5.1145,0.337586514,0.336659553,0,0,0,4692,160,160,0,0,1,1,0,0
x54s,Florida,Florida,25.29,-81,-1.816557,0.606227858,0.606227858,0,0,0,4762,503,503,1,0,1,1,0,0
x55s,Florida,Florida,24.44,-81.87,-3.711268,0.631318505,0.631318505,0,0,0,5002.5,589.5,589.5,0,0,1,1,0,0
x56s,Florida,Florida,24.44,-81.87,-5.2145,0.339310202,0.338387962,0,0,0,5463,141,141,0,0,1,1,0,0
x5s,Florida,Florida,25.89,-80.95,-0.994283003,0.400990932,0.400990932,0,0,0,1224,466,466,-1,0,1,1,0,0
x6s,Florida,Florida,25.89,-80.95,-1.355,0.275842954,0.274707727,0,0,0,1260,94,94,-1,0,1,1,0,0
x7s,Florida,Florida,25.89,-80.95,-1.179561,0.469887697,0.469887697,0,0,0,1548,264,264,0,0,1,1,0,0
x8s,Florida,Florida,25.89,-80.95,-0.817,0.34550887,0.34460322,0,0,0,1616,197,197,0,0,1,1,0,0
x9s,Florida,Florida,25.49,-80.18,-1.88876,0.335770998,0.334839011,0,0,0,1820.5,291.5,291.5,-1,0,1,1,0,0
