SampleID,SubRegion,Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,Remove
NW-34a,Northwest Shelf,Australia,-18.3,119.1,-123.0231,1.310938065,1.310938065,0,0,0,12608,159,191,-1,0,1,5,0,0
NW-34b,Northwest Shelf,Australia,-18.3,119.1,-123.0231,1.310938065,1.310938065,0,0,0,13558,229,238,-1,0,1,5,0,0
NW-34c,Northwest Shelf,Australia,-18.3,119.1,-123.0231,1.310938065,1.310938065,0,0,0,14216,410,349,-1,0,1,5,0,0
NW-35a,Northwest Shelf,Australia,-18.4,119.95,-108.0374,1.311267997,1.311267997,0,0,0,13710,290,250,-1,0,1,5,0,0
NW-35b,Northwest Shelf,Australia,-18.4,119.95,-108.0374,1.311267997,1.311267997,0,0,0,15071,376,350,-1,0,1,5,0,0
NW-35c,Northwest Shelf,Australia,-18.4,119.95,-108.0374,1.311267997,1.311267997,0,0,0,15295,355,345,-1,0,1,5,0,0
NW-64a,Northwest Shelf,Australia,-17.03,117.95,-124.0084,1.310761443,1.310761443,0,0,0,13444,250,227,-1,0,1,5,0,0
NW-64b,Northwest Shelf,Australia,-17.03,117.95,-124.0084,1.310761443,1.310761443,0,0,0,14301,450,298,-1,0,1,5,0,0
NW-64c,Northwest Shelf,Australia,-17.03,117.95,-124.0084,1.310761443,1.310761443,0,0,0,15396,316,307,-1,0,1,5,0,0
NW-33,Northwest Shelf,Australia,-18.09,119.7,-148.028,1.311033562,1.311033562,0,0,0,9645,218,160,-1,0,1,5,0,0
YAUT-030603,Northwest Shelf,Australia,-20.129,115.039,-141.2802,0.726563034,0.726563034,0,0,0,16874,209,240,-1,0,1,5,0,0
YAUT-030604,Northwest Shelf,Australia,-20.129,115.039,-140.3002,0.726563034,0.726563034,0,0,0,23665,192,278,-1,0,1,5,0,0
YAUT-030605,Northwest Shelf,Australia,-20.129,115.039,-141.3202,0.726563034,0.726563034,0,0,0,19516,286,259,-1,0,1,5,0,0
YAUT-019120,Northwest Shelf,Australia,-20.129,115.039,-140.4002,0.726563034,0.726563034,0,0,0,23307,327,265,-1,0,1,5,0,0
YAUT-030607,Northwest Shelf,Australia,-20.129,115.039,-141.9102,0.726563034,0.726563034,0,0,0,13458,202,196,-1,0,1,5,0,0
YAUT-030625,Northwest Shelf,Australia,-20.129,115.039,-147.5702,0.726563034,0.726563034,0,0,0,13661,157,177,-1,0,1,5,0,0
