SampleID,SubRegion,Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,Remove
SUA-30A,Cambridge Gulf,,-15.28,128.32,6.004,4.254206624,4.254206624,0,0,0,7549,286,119,0,0,1,2,0,0
SUA-30B,Cambridge Gulf,,-15.28,128.32,6.004,4.254206624,4.254206624,0,0,0,7548.5,199.5,218.5,0,0,1,2,0,0
ANU-1091,Cambridge Gulf,,-15.28,128.32,5.404,4.254206624,4.254206624,0,0,0,7028,536,577,0,0,1,2,0,0
ANU4881,Bonaparte Gulf,,-14.86,129.03,0.3081,0.91769761,0.917479647,0,0,0,2817,329,296,1,0,1,2,0,0
ANU4884,Bonaparte Gulf,,-14.86,129.03,0.5581,0.91769761,0.917479647,0,0,0,2205.5,497.5,888.5,1,0,1,2,0,0
ANU4885,Bonaparte Gulf,,-14.86,129.03,-0.886,1.709846192,1.709729218,0,0,0,7053,374,410,0,0,1,2,0,0
ANU4886,Bonaparte Gulf,,-14.86,129.03,0.3081,0.91769761,0.917479647,0,0,0,1039,269,241,1,0,1,2,0,0
ANU4887,Bonaparte Gulf,,-14.86,129.03,0.7581,0.91769761,0.917479647,0,0,0,1339,470,161,1,0,1,2,0,0
ANU4889,Bonaparte Gulf,,-14.86,129.03,0.114,1.709846192,1.709729218,0,0,0,7090,330,140,0,0,1,2,0,0
ANU35405,Kimberley Coast,,-15.57,128.14,0.52335,2.583694363,2.583616954,0,0,0,1709,24,89,0,0,1,2,0,0
ANU35406,Kimberley Coast,,-15.57,128.14,-0.39665,2.583694363,2.583616954,0,0,0,7368,61,92,0,0,1,2,0,0
ANU31709,Kimberley Coast,,-15.57,128.14,-0.81165,2.583694363,2.583616954,0,0,0,7422,138,102,0,0,1,2,0,0
ANU32712,Kimberley Coast,,-15.57,128.14,-2.17165,2.583694363,2.583616954,0,0,0,7477,98,145,0,0,1,2,0,0
ANU32713,Kimberley Coast,,-15.57,128.14,-3.01165,2.583694363,2.583616954,0,0,0,8241,176,225,0,0,1,2,0,0
ANU33413,Kimberley Coast,,-15.57,128.14,-5.05165,2.583694363,2.583616954,0,0,0,7701,134,119,0,0,1,2,0,0
ANU35523,Kimberley Coast,,-15.49,128.104,0.53335,2.430344947,2.430262653,0,0,0,910,48,107,0,0,1,2,0,0
ANU35524,Kimberley Coast,,-15.49,128.104,-0.16665,2.430344947,2.430262653,0,0,0,6234,70,214,0,0,1,2,0,0
ANU35525,Kimberley Coast,,-15.49,128.104,-0.87665,2.430344947,2.430262653,0,0,0,6360,84,66,0,0,1,2,0,0
ANU31706,Kimberley Coast,,-15.49,128.104,-1.73165,2.430344947,2.430262653,0,0,0,6698,91,133,0,0,1,2,0,0
ANU31707,Kimberley Coast,,-15.49,128.104,-2.69165,2.430344947,2.430262653,0,0,0,6720,160,155,0,0,1,2,0,0
ANU35837,Kimberley Coast,,-15.549,128.256,2.60335,3.729152258,3.729098626,0,0,0,604,42,69,0,0,1,2,0,0
ANU31712,Kimberley Coast,,-15.549,128.256,2.27835,3.729152258,3.729098626,0,0,0,3385,180,201,0,0,1,2,0,0
ANU35528,Kimberley Coast,,-15.549,128.256,0.63335,3.729152258,3.729098626,0,0,0,7495,74,67,0,0,1,2,0,0
ANU33416,Kimberley Coast,,-15.549,128.256,0.13835,3.729152258,3.729098626,0,0,0,7441,125,121,0,0,1,2,0,0
ANU35529,Kimberley Coast,,-15.549,128.256,-0.70165,3.729152258,3.729098626,0,0,0,7595,75,84,0,0,1,2,0,0
ANU10587,Bonaparte Gulf,,-14.496,127.946,-20.7669,3.573299442,3.573299442,0,0,0,6404,239,237,-1,0,1,2,0,0
