SampleID,SubRegion,Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,Remove
Cooloongup East N/S spits,Becher Point,,-32.37,115.72,4.6188,0.910068679,0.910068679,0,0,0,6515,426,395,1,0,1,11,0,0
Cooloongup A2,Becher Point,,-32.37,115.72,4.4188,0.866083137,0.866083137,0,0,0,5201,384,355,1,0,1,11,0,0
A2,Becher Point,,-32.377,115.737,2.1838,0.830722577,0.830722577,0,0,0,1430,130,122,1,0,1,11,0,0
A3,Becher Point,,-32.371,115.735,3.1288,0.830722577,0.830722577,0,0,0,2538,422,446,1,0,1,11,0,0
A4,Becher Point,,-32.372,115.735,2.7788,0.830722577,0.830722577,0,0,0,3430,470,540,1,0,1,11,0,0
A7,Becher Point,,-32.373,115.735,1.4438,0.830722577,0.830722577,0,0,0,4262,516,367,1,0,1,11,0,0
A9,Becher Point,,-32.376,115.737,1.0138,0.830722577,0.830722577,0,0,0,2282,402,173,1,0,1,11,0,0
229,Becher Point,,-32.376,115.737,3.2888,0.830722577,0.830722577,0,0,0,3522,554,554,1,0,1,11,0,0
163-3,Becher Point,,-32.373,115.731,3.0388,0.852994724,0.852994724,0,0,0,3079,299,314,1,0,1,11,0,0
163-20m,Becher Point,,-32.373,115.731,4.0388,0.830722577,0.830722577,0,0,0,1254,265,269,1,0,1,11,0,0
WAWA 3,Becher Point,,-32.373,115.731,1.9588,0.866083137,0.866083137,0,0,0,2189,681,759,1,0,1,11,0,0
136-3,Becher Point,,-32.373,115.731,2.8388,0.842674314,0.842674314,0,0,0,2317,434,424,1,0,1,11,0,0
135-2,Becher Point,,-32.373,115.731,3.1488,0.842674314,0.842674314,0,0,0,594,144,259,1,0,1,11,0,0
63-3,Becher Point,,-32.373,115.731,2.7388,0.842674314,0.842674314,0,0,0,1481,395,378,1,0,1,11,0,0
45-5,Becher Point,,-32.373,115.731,2.8638,0.842674314,0.842674314,0,0,0,2954,387,234,1,0,1,11,0,0
35-4-1,Becher Point,,-32.373,115.731,2.7138,0.842674314,0.842674314,0,0,0,1956,446,438,1,0,1,11,0,0
35-4-2,Becher Point,,-32.373,115.731,0.3388,0.842674314,0.842674314,0,0,0,2518,262,376,1,0,1,11,0,0
9/14/2001,Becher Point,,-32.373,115.731,1.2488,0.842674314,0.842674314,0,0,0,139,293,138,1,0,1,11,0,0
swiii-4-1,Becher Point,,-32.373,115.731,1.1288,0.842674314,0.842674314,0,0,0,752,301,237,1,0,1,11,0,0
swiii-4-2,Becher Point,,-32.373,115.731,0.4388,0.842674314,0.842674314,0,0,0,1061,229,260,1,0,1,11,0,0
swii-3,Becher Point,,-32.373,115.731,1.1438,0.842674314,0.842674314,0,0,0,608,114,93,1,0,1,11,0,0
142-3,Becher Point,,-32.373,115.731,2.0388,0.842674314,0.842674314,0,0,0,1968,442,442,1,0,1,11,0,0
C5,Becher Point,,-32.373,115.731,1.4138,0.842674314,0.842674314,0,0,0,1152,149,189,1,0,1,11,0,0
Cud Swamp 1,Becher Point,,-32.373,115.731,1.7388,0.838585118,0.838585118,0,0,0,733,171,161,1,0,1,11,0,0
WAWA,Becher Point,,-32.373,115.731,2.2388,0.866083137,0.866083137,0,0,0,2162,545,429,1,0,1,11,0,0
Cud Swamp 2,Becher Point,,-32.373,115.731,2.0188,0.838585118,0.838585118,0,0,0,276,241,275,1,0,1,11,0,0
GX11587,Becher/Rockingham,,-32.28,115.71,2.27185,1.250079997,1.250079997,0,0,0,6474,422,474,0,0,1,11,0,0
