SampleID,SubRegion,Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,Remove
Beta-389407,Kimberley Coast,,-16.41,123.123,0.2,3.575392146,3.575392146,0,0,0,392,95,78,-1,0,2,3,0,0
Beta-391788,Kimberley Coast,,-16.41,123.123,-0.2,3.575392146,3.575392146,0,0,0,606,46,61,-1,0,2,3,0,0
Beta-389404,Kimberley Coast,,-16.41,123.123,13,14.44934009,14.44934009,0,0,0,96,164,95,2,0,2,3,7,0
Beta-397766,Kimberley Coast,,-16.41,123.123,-1.1,3.575392146,3.575392146,0,0,0,70,182,66,-1,0,2,3,0,0
Beta-389410,Kimberley Coast,,-16.407,123.186,14,14.44934009,14.44934009,0,0,0,91,164,90,2,0,2,3,7,0
Beta-385994,Kimberley Coast,,-16.407,123.186,12.9,14.44934009,14.44934009,0,0,0,1524,60,99,2,0,2,3,7,0
Beta-389470,Kimberley Coast,,-16.407,123.186,14.2,14.44934009,14.44934009,0,0,0,61,190,56,2,0,2,3,7,0
Beta-389472,Kimberley Coast,,-16.407,123.186,-4.7,3.575392146,3.575392146,0,0,0,4477,132,164,-1,0,2,3,0,0
Beta-389473,Kimberley Coast,,-16.407,123.186,-5.5,3.575392146,3.575392146,0,0,0,4840,118,192,-1,0,2,3,0,0
Beta-389475,Kimberley Coast,,-16.407,123.186,4,7.418451927,7.418451927,0,0,0,4946,311,95,2,0,2,3,8,0
Beta-385996,Kimberley Coast,,-16.407,123.186,-1.2,3.575392146,3.575392146,0,0,0,524,23,24,-1,0,2,3,0,0
Beta-389411,Kimberley Coast,,-16.407,123.186,14.2,14.44934009,14.44934009,0,0,0,56,195,50,2,0,2,3,7,0
Beta-391787,Kimberley Coast,,-16.407,123.186,13.4,14.44934009,14.44934009,0,0,0,1407,109,88,2,0,2,3,7,0
Beta-389477,Kimberley Coast,,-16.06,123.548,-0.8,3.575392146,3.575392146,0,0,0,96,164,95,-1,0,2,3,0,0
Beta-389478,Kimberley Coast,,-16.06,123.548,7,8.76261542,8.76261542,0,0,0,109,166,108,2,0,2,3,1,0
Beta-389479,Kimberley Coast,,-16.06,123.548,-1.8,3.575392146,3.575392146,0,0,0,505,33,50,-1,0,2,3,3,0
Beta-389413,Kimberley Coast,,-16.056,123.547,8.2,7.418451927,7.418451927,0,0,0,109,166,108,2,0,2,3,8,0
Beta-389417,Kimberley Coast,,-16.056,123.547,15.5,14.44934009,14.44934009,0,0,0,96,164,95,2,0,2,3,7,0
Beta-389418,Kimberley Coast,,-16.056,123.547,-1.2,3.575392146,3.575392146,0,0,0,283,152,136,-1,0,2,3,0,0
Beta-389481,Kimberley Coast,,-16.056,123.547,-0.7,3.575392146,3.575392146,0,0,0,391,93,84,-1,0,2,3,0,0
Beta-389482,Kimberley Coast,,-16.056,123.547,-1,3.575392146,3.575392146,0,0,0,399,92,76,-1,0,2,3,0,0
Beta-389483,Kimberley Coast,,-16.056,123.547,5.8,8.76261542,8.76261542,0,0,0,53,197,46,2,0,2,3,1,0
Beta-389484,Kimberley Coast,,-16.056,123.547,-2.4,3.575392146,3.575392146,0,0,0,541,84,32,-1,0,2,3,0,0
Beta-389419,Kimberley Coast,,-16.056,123.547,15.3,14.44934009,14.44934009,0,0,0,61,190,56,2,0,2,3,7,0
Beta-389420,Kimberley Coast,,-16.056,123.547,13.2,14.44934009,14.44934009,0,0,0,193,107,192,2,0,2,3,7,0
Beta-389421,Kimberley Coast,,-16.056,123.547,11.9,14.44934009,14.44934009,0,0,0,391,93,84,2,0,2,3,7,0
Beta-389422,Kimberley Coast,,-16.056,123.547,-6.1,3.575392146,3.575392146,0,0,0,461,43,134,-1,0,2,3,0,0
Beta-389423,Kimberley Coast,,-16.056,123.547,-0.7,3.575392146,3.575392146,0,0,0,80,173,76,-1,0,2,3,3,0
Beta-389424,Kimberley Coast,,-16.058,123.544,-2,3.575392146,3.575392146,0,0,0,294,145,143,-1,0,2,3,0,0
Beta-389425,Kimberley Coast,,-16.058,123.544,-3.7,3.575392146,3.575392146,0,0,0,388,64,89,-1,0,2,3,0,0
Beta-389426,Kimberley Coast,,-16.058,123.544,-6,3.575392146,3.575392146,0,0,0,509,32,38,-1,0,2,3,0,0
Beta-391043,Kimberley Coast,,-16.058,123.544,-0.7,3.575392146,3.575392146,0,0,0,87,166,84,-1,0,2,3,0,0
Beta-391044,Kimberley Coast,,-16.058,123.544,-3.6,3.575392146,3.575392146,0,0,0,532,88,30,-1,0,2,3,0,0
Beta-391045,Kimberley Coast,,-16.058,123.544,-6.4,3.575392146,3.575392146,0,0,0,604,61,46,-1,0,2,3,0,0
Beta-391040,Kimberley Coast,,-16.058,123.544,-0.5,3.575392146,3.575392146,0,0,0,80,173,76,-1,0,2,3,0,0
Beta-391041,Kimberley Coast,,-16.058,123.544,-3.4,3.575392146,3.575392146,0,0,0,516,25,20,-1,0,2,3,0,0
Beta-391042,Kimberley Coast,,-16.058,123.544,-6.4,3.575392146,3.575392146,0,0,0,954,99,32,-1,0,2,3,0,0
Beta-391037,Kimberley Coast,,-16.058,123.544,-0.7,3.575392146,3.575392146,0,0,0,56,195,50,-1,0,2,3,0,0
Beta-391038,Kimberley Coast,,-16.058,123.544,-3.2,3.575392146,3.575392146,0,0,0,605,45,64,-1,0,2,3,0,0
Beta-391039,Kimberley Coast,,-16.058,123.544,-4.6,3.575392146,3.575392146,0,0,0,743,50,63,-1,0,2,3,0,0
