Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
Kimberley Coast,-16.407,123.186,-4.7486,3.620473588,3.620473588,0,0,0,4477,132,164,-1,0,2,3,0
Kimberley Coast,-16.407,123.186,-5.5486,3.620473588,3.620473588,0,0,0,4840,118,192,-1,0,2,3,0
Kimberley Coast,-16.407,123.186,0,0,0,0.5,6.173153894,10.63521645,4946,311,95,2,0,2,3,8
Kimberley Coast,-16.407,123.186,-1.2486,3.620473588,3.620473588,0,0,0,524,23,24,-1,0,2,3,0
Kimberley Coast,-16.407,123.186,0,0,0,3.2,7.880852048,13.49473338,56,195,50,2,0,2,3,7
Kimberley Coast,-16.407,123.186,0,0,0,2.4,7.880852048,13.49473338,1407,109,88,2,0,2,3,7
Kimberley Coast,-16.06,123.548,-0.8486,3.620473588,3.620473588,0,0,0,96,164,95,-1,0,2,3,0
Kimberley Coast,-16.06,123.548,0,0,0,4,6.173153894,11.58049347,109,166,108,2,0,2,3,1
Kimberley Coast,-16.06,123.548,-1.8486,3.620473588,3.620473588,0,0,0,505,33,50,-1,0,2,3,0
Kimberley Coast,-16.056,123.547,0,0,0,4.7,6.173153894,10.63521645,109,166,108,2,0,2,3,8
Kimberley Coast,-16.056,123.547,0,0,0,4.5,7.880852048,13.49473338,96,164,95,2,0,2,3,7
Kimberley Coast,-16.056,123.547,-1.2486,3.620473588,3.620473588,0,0,0,283,152,136,-1,0,2,3,0
Kimberley Coast,-16.056,123.547,-0.7486,3.620473588,3.620473588,0,0,0,391,93,84,-1,0,2,3,0
Kimberley Coast,-16.056,123.547,-1.0486,3.620473588,3.620473588,0,0,0,399,92,76,-1,0,2,3,0
Kimberley Coast,-16.056,123.547,0,0,0,2.8,6.173153894,11.58049347,53,197,46,2,0,2,3,1
Kimberley Coast,-16.056,123.547,-2.4486,3.620473588,3.620473588,0,0,0,541,84,32,-1,0,2,3,0
Kimberley Coast,-16.056,123.547,0,0,0,4.3,7.880852048,13.49473338,61,190,56,2,0,2,3,7
Kimberley Coast,-16.056,123.547,0,0,0,2.2,7.880852048,13.49473338,193,107,192,2,0,2,3,7
Kimberley Coast,-16.056,123.547,0,0,0,0.9,7.880852048,13.49473338,391,93,84,2,0,2,3,7
Kimberley Coast,-16.056,123.547,-6.1486,3.620473588,3.620473588,0,0,0,461,43,134,-1,0,2,3,0
Kimberley Coast,-16.056,123.547,-0.7486,3.620473588,3.620473588,0,0,0,80,173,76,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-2.0486,3.620473588,3.620473588,0,0,0,294,145,143,-1,0,2,3,0
