Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
Minninup,-33.300,115.660,2.8707,0.431502028,0.431502028,0,0,0,3954,194,227,0,0,1,7,0
Becher/Rockingham,-32.360,115.730,0.37185,0.827284754,0.827284754,0,0,0,3707,442,430,0,0,1,7,0
Becher/Rockingham,-32.290,115.710,0.87185,0.827284754,0.827284754,0,0,0,3547,591,580,0,0,1,7,0
Becher Point,-32.376,115.737,3.2888,0.731727408,0.731573646,0,0,0,3522,554,554,1,0,1,7,0
Becher Point,-32.372,115.735,2.7788,0.731785324,0.731573646,0,0,0,3430,470,540,1,0,1,7,0
Rottnest Island,-32.010,115.520,1.77,0.399908482,0.399908482,0,0,0,3339,347,370,0,0,1,7,0
Becher Point,-32.373,115.731,3.0388,0.756822965,0.75676945,0,0,0,3079,299,314,1,0,1,7,0
Cape Leeuwin,-33.371,115.135,0.7675,0.651905607,0.651905607,0,0,0,3075,142,186,0,0,1,7,0
Becher Point,-32.373,115.731,2.8638,0.745165921,0.74511744,0,0,0,2954,387,234,1,0,1,7,0
Becher Point,-32.280,115.710,0.57185,0.840890043,0.840773492,0,0,0,2873,273,148,0,0,1,7,0
Becher/Rockingham,-32.270,115.700,0.37185,0.827284754,0.827284754,0,0,0,2844,542,662,0,0,1,7,0
Becher/Rockingham,-32.290,115.710,0.87185,0.827284754,0.827284754,0,0,0,2794,532,455,0,0,1,7,0
Becher Point,-32.371,115.735,3.1288,0.731631492,0.731573646,0,0,0,2538,422,446,1,0,1,7,0
Becher Point,-32.373,115.731,0.3388,0.745268408,0.74511744,0,0,0,2518,262,376,1,0,1,7,0
Becher Point,-32.373,115.731,2.8388,0.745171792,0.74511744,0,0,0,2317,434,424,1,0,1,7,0
Becher Point,-32.376,115.737,1.0138,0.731630241,0.731573646,0,0,0,2282,402,173,1,0,1,7,0
Becher Point,-32.373,115.731,1.9588,0.771585381,0.771492061,0,0,0,2189,681,759,1,0,1,7,0
Becher Point,-32.280,115.710,0.57185,0.840890043,0.840773492,0,0,0,2179,514,346,0,0,1,7,0
Becher Point,-32.373,115.731,2.2388,0.771508263,0.771492061,0,0,0,2162,545,429,1,0,1,7,0
Becher Point,-32.373,115.731,2.0388,0.745198631,0.74511744,0,0,0,1968,442,442,1,0,1,7,0
Becher Point,-32.373,115.731,2.7138,0.74520618,0.74511744,0,0,0,1956,446,438,1,0,1,7,0
Rottnest Island,-32.010,115.520,0.57,0.399908482,0.399908482,0,0,0,1781,144,169,0,0,1,7,0
Becher/Rockingham,-32.290,115.710,-0.12815,0.827284754,0.827284754,0,0,0,1769,333,356,0,0,1,7,0
Becher Point,-32.370,115.780,0.17185,1.389077165,1.388902938,0,0,0,1583,225,208,0,0,1,7,0
Rottnest Island,-32.010,115.520,0.37,0.399908482,0.399908482,0,0,0,1547,177,182,0,0,1,7,0
Becher Point,-32.373,115.731,2.7388,0.745198631,0.74511744,0,0,0,1481,395,378,1,0,1,7,0
Becher Point,-32.377,115.737,2.1838,0.731950989,0.731573646,0,0,0,1430,130,122,1,0,1,7,0
Rottnest Island,-32.010,115.520,0.47,0.399908482,0.399908482,0,0,0,1418,191,233,0,0,1,7,0
Cape Naturaliste,-33.530,115.020,1.2682,0.652783756,0.652783756,0,0,0,1338,69,50,0,0,1,7,0
Becher/Rockingham,-32.290,115.710,-0.12815,0.85778789,0.840773492,0,0,0,1272,288,311,0,0,1,7,0
Becher Point,-32.373,115.731,4.0388,0.731607135,0.731573646,0,0,0,1254,265,269,1,0,1,7,0
Becher Point,-32.373,115.731,1.4138,0.74520618,0.74511744,0,0,0,1152,149,189,1,0,1,7,0
Rottnest Island,-32.010,115.520,0.67,0.399908482,0.399908482,0,0,0,1062,197,129,0,0,1,7,0
Becher Point,-32.373,115.731,0.4388,0.745198631,0.74511744,0,0,0,1061,229,260,1,0,1,7,0
Becher Point,-32.373,115.731,1.1288,0.745128177,0.74511744,0,0,0,752,301,237,1,0,1,7,0
Becher Point,-32.373,115.731,1.7388,0.740506583,0.740489703,0,0,0,733,171,161,1,0,1,7,0
Becher Point,-32.373,115.731,1.1438,0.745131029,0.74511744,0,0,0,608,114,93,1,0,1,7,0
Becher Point,-32.373,115.731,3.1488,0.745122701,0.74511744,0,0,0,594,144,259,1,0,1,7,0
Becher/Rockingham,-32.290,115.710,-0.12815,0.827284754,0.827284754,0,0,0,579,335,294,0,0,1,7,0
Becher/Rockingham,-32.290,115.710,-0.12815,0.846699513,0.840773492,0,0,0,532,365,388,0,0,1,7,0
Becher/Rockingham,-32.290,115.710,-0.12815,0.841724459,0.840773492,0,0,0,523,354,522,0,0,1,7,0
Becher Point,-32.373,115.731,2.0188,0.74049578,0.740489703,0,0,0,276,241,275,1,0,1,7,0
Becher Point,-32.373,115.731,1.2488,0.74511787,0.74511744,0,0,0,139,293,138,1,0,1,7,0
