Site,Taxa,Depth,Taxa
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.4,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
Caribbean,Apalmata,0.45,1
