Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,,,,,
LineIs,1.84,-157.36,1.43,0.12,0.12,0,0,0,3918.5,173.5,173.5,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.44,0.12,0.12,0,0,0,3739,172,172,1,0,1,1,0,,,,,
LineIs,1.85,-157.40,1.44,0.12,0.12,0,0,0,1928,162,162,1,0,1,1,0,,,,,
LineIs,1.97,-157.32,1.45,0.12,0.12,0,0,0,2855,157,157,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.47,0.12,0.12,0,0,0,3630.5,194.5,194.5,1,0,1,1,0,,,,,
LineIs,1.85,-157.40,1.48,0.12,0.12,0,0,0,1880,157,157,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.49,0.12,0.12,0,0,0,1904.5,165.5,165.5,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.49,0.12,0.12,0,0,0,1974,37,37,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.51,0.12,0.12,0,0,0,1615,200,200,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.51,0.12,0.12,0,0,0,3596,240,240,1,0,1,1,0,,,,,
LineIs,1.80,-157.41,1.51,0.12,0.12,0,0,0,2204,148,148,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.51,0.12,0.12,0,0,0,1457.5,180.5,180.5,1,0,1,1,0,,,,,
LineIs,1.98,-157.33,1.52,0.12,0.12,0,0,0,3025.5,184.5,184.5,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.53,0.12,0.12,0,0,0,1919.5,205.5,205.5,1,0,1,1,0,,,,,
LineIs,1.80,-157.33,1.53,0.12,0.12,0,0,0,4707,177,177,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.53,0.12,0.12,0,0,0,2700,580,580,1,0,1,1,0,,,,,
LineIs,1.83,-157.38,1.53,0.12,0.12,0,0,0,5242.5,186.5,186.5,1,0,1,1,0,,,,,
LineIs,1.80,-157.41,1.55,0.12,0.12,0,0,0,1592.5,152.5,152.5,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.55,0.12,0.12,0,0,0,1523.5,155.5,155.5,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.55,0.12,0.12,0,0,0,1797.5,187.5,187.5,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.56,0.12,0.12,0,0,0,1891.5,164.5,164.5,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.56,0.12,0.12,0,0,0,3350.5,156.5,156.5,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.57,0.12,0.12,0,0,0,1978.5,292.5,292.5,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.57,0.12,0.12,0,0,0,3912,224,224,1,0,1,1,0,,,,,
LineIs,1.80,-157.33,1.57,0.12,0.12,0,0,0,3980,167,167,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.58,0.12,0.12,0,0,0,3974,176,176,1,0,1,1,0,,,,,
LineIs,1.80,-157.34,1.59,0.12,0.12,0,0,0,4311,191,191,1,0,1,1,0,,,,,
LineIs,1.80,-157.41,1.59,0.12,0.12,0,0,0,1573,150,150,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.61,0.12,0.12,0,0,0,1554.5,152.5,152.5,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.64,0.12,0.12,0,0,0,1755.5,160.5,160.5,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.64,0.12,0.12,0,0,0,4697,165,165,1,0,1,1,0,,,,,
LineIs,1.80,-157.41,1.65,0.12,0.12,0,0,0,1970,159,159,1,0,1,1,0,,,,,
LineIs,1.85,-157.40,1.68,0.12,0.12,0,0,0,4786.5,174.5,174.5,1,0,1,1,0,,,,,
LineIs,1.84,-157.36,1.70,0.12,0.12,0,0,0,1492.5,154.5,154.5,1,0,1,1,0,,,,,
LineIs,1.80,-157.41,1.71,0.12,0.12,0,0,0,1579,151,151,1,0,1,1,0,,,,,
LineIs,1.82,-157.43,1.77,0.12,0.12,0,0,0,3852,38,38,1,0,1,1,0,,,,,
LineIs,1.88,-157.39,1.90,0.12,0.12,0,0,0,5211,21,21,1,0,1,1,0,,,,,
LineIs,1.99,-157.32,-0.09,0.14,0.14,0,0,0,4246,167,167,0,0,1,1,0,,,,,
LineIs,1.99,-157.32,-0.04,0.14,0.14,0,0,0,4678.5,162.5,162.5,0,0,1,1,0,,,,,
LineIs,1.99,-157.32,-0.04,0.14,0.14,0,0,0,2533.5,166.5,166.5,0,0,1,1,0,,,,,
LineIs,1.99,-157.31,-0.01,0.14,0.14,0,0,0,3234.5,154.5,154.5,0,0,1,1,0,,,,,
LineIs,1.99,-157.31,0.04,0.14,0.14,0,0,0,2521,166,166,0,0,1,1,0,,,,,
LineIs,1.99,-157.31,0.05,0.14,0.14,0,0,0,2637,154,154,0,0,1,1,0,,,,,
LineIs,1.99,-157.24,-0.07,0.14,0.14,0,0,0,2787.5,147.5,147.5,0,0,1,1,0,,,,,
LineIs,1.99,-157.32,-0.14,0.14,0.14,0,0,0,2624.5,158.5,158.5,0,0,1,1,0,,,,,
LineIs,1.99,-157.31,-0.12,0.14,0.14,0,0,0,4500.5,190.5,190.5,0,0,1,1,0,,,,,
LineIs,1.99,-157.31,-0.12,0.14,0.14,0,0,0,2836,141,141,0,0,1,1,0,,,,,
LineIs,1.99,-157.32,-0.14,0.14,0.14,0,0,0,4242.5,167.5,167.5,0,0,1,1,0,,,,,
LineIs,1.99,-157.32,-0.25,0.14,0.14,0,0,0,4171,186,186,0,0,1,1,0,,,,,
LineIs,1.99,-157.32,-0.14,0.14,0.14,0,0,0,156,154,154,0,0,1,1,0,,,,,
LineIs,2.0,-157.3,-0.14,0.14,0.14,0,0,0,2765,152,152,0,0,1,1,0,,,,,
LineIs,2.0,-157.3,-0.14,0.14,0.14,0,0,0,2882.5,152.5,152.5,0,0,1,1,0,,,,,
LineIs,1.7,-157.2,0.05,0.12,0.12,0,0,0,5930,700,700,0,0,1,1,0,,,,,
